Txn Date,Ref No./Cheque No.,Description,Credit,Debit
23-08-2026,CMS002938491863,NEFT-RAZORPAY-CMS002938491863-SETTLEMENT,74450.50,
22-08-2026,CMS002938491848,RTGS/CMS002938491848/RAZORPAY PAYOUT setl_Kjs9283jkd048,19528.00,
21-08-2026,CMS002938491833,RAZORPAY PAYOUT CMS002938491833,47599.50,
20-08-2026,CMS002938491818,CMS/CMS002938491818/SBI/RAZORPAY SOFTWARE PVT,75671.00,
19-08-2026,CMS002938491808,NEFT-RAZORPAY-CMS002938491808-SETTLEMENT,15000.00,
18-08-2026,CMS002938491807,RTGS/CMS002938491807/RAZORPAY PAYOUT setl_Kjs9283jkd907,82994.00,
17-08-2026,CMS002938491854,RAZORPAY PAYOUT CMS002938491854,38079.60,
16-08-2026,CMS002938491844,CMS/CMS002938491844/SBI/RAZORPAY SOFTWARE PVT,82017.60,
15-08-2026,CMS002938491834,NEFT-RAZORPAY-CMS002938491834-SETTLEMENT,47843.60,
14-08-2026,CMS002938491824,RTGS/CMS002938491824/RAZORPAY PAYOUT setl_gold_024,13669.60,
13-08-2026,CMS002938491814,RAZORPAY PAYOUT CMS002938491814,57607.60,
12-08-2026,CMS002938491808,CMS/CMS002938491808/SBI/RAZORPAY SOFTWARE PVT,15000.00,
11-08-2026,CMS002938491807,NEFT-RAZORPAY-CMS002938491807-SETTLEMENT,82994.00,
10-08-2026,CMS002938491894,RTGS/CMS002938491894/RAZORPAY PAYOUT setl_Kjs9283jkd094,21969.00,
09-08-2026,CMS002938491879,RAZORPAY PAYOUT CMS002938491879,50040.50,
08-08-2026,CMS002938491864,CMS/CMS002938491864/SBI/RAZORPAY SOFTWARE PVT,78112.00,
07-08-2026,CMS002938491849,NEFT-RAZORPAY-CMS002938491849-SETTLEMENT,23189.50,
06-08-2026,CMS002938491834,RTGS/CMS002938491834/RAZORPAY PAYOUT setl_Kjs9283jkd034,51261.00,
30-08-2026,CMS002938491819,RAZORPAY PAYOUT CMS002938491819,79332.50,
29-08-2026,RTGS983921092812,CMS/RTGS983921092812/SBI/RAZORPAY SOFTWARE PVT,12450.00,
28-08-2026,CMS002938491845,NEFT-RAZORPAY-CMS002938491845-SETTLEMENT,85435.00,
27-08-2026,CMS002938491835,RTGS/CMS002938491835/RAZORPAY PAYOUT setl_gold_035,51261.00,
26-08-2026,CMS002938491825,RAZORPAY PAYOUT CMS002938491825,17087.00,
29-08-2026,,RTGS RAZORPAY SOFTWARE PRIVATE LIMITED BANGLORE 94,12450.00,
29-08-2026,,DIRECT CR BATCH CLEARING MISC,78900.00,
28-08-2026,CMS002938491805,CMS/002938491805/RAZORPAY ORDER 4521 NET,48820.00,
28-08-2026,CMS002938491806,CMS/002938491806/RAZORPAY REFUND ADJ BATCH,68230.00,
27-08-2026,CMS002938491812,CMS/002938491812/SBI/ECOM SALES NET 194O,96640.00,
30-08-2026,SBIREF0000,UPI/CR/982374928123/Swiggy Refund,340.00,
29-08-2026,,UPI/DR/847291029384/Coffee Shop,,180.00
28-08-2026,SBIREF0002,INTEREST CREDIT FOR Q2 FY26-27,4250.00,
27-08-2026,,SMS ALERT CHARGES Q2,,17.70
26-08-2026,SBIREF0004,NEFT/AXIS002938491899/VENDOR INWARD PAYMENT,18500.00,
25-08-2026,,ANNUAL MAINTENANCE FEE SBI CURRENT ACC,,590.00
24-08-2026,SBIREF0006,UPI/CR/728192039485/CLIENT DIRECT TRANSFER,8500.00,
23-08-2026,SBIREF0007,CASH DEPOSIT SELF BRANCH MUMBAI,50000.00,
22-08-2026,,UPI/DR/928374829102/Fuel Station,,2200.00
21-08-2026,,TDS ON INTEREST DEDUCTED,,425.00
20-08-2026,,DR/CMS002938491808/RAZORPAY CHARGEBACK REVERSAL,,15000.00
19-08-2026,SBIREF0011,UPI/CR/689912946467/SEEMA P2P TRANSFER,220.00,
30-08-2026,,UPI/DR/185749995274/COCO II STORE,,105.00
29-08-2026,,UPI/DR/938402827485/Keshav Tea Stall,,10.00
28-08-2026,,ELECTRICITY BILL AUTOPAY TNEB,,3420.00
